[^a-zA-Z']
[^a-zA-Z']
'cause	because
'Cause	Because
'CAUSE	BECAUSE
'twas	it was
'Twas	It was
'TWAS	IT WAS
i'd	i had
I'd	I had
I'D	I HAD
i'll	i will
I'll	I will
I'LL	I WILL
i'm	i am
I'm	I am
I'M	I AM
i've	i have
I've	I have
I'VE	I HAVE
ain't	am not
Ain't	Am not
AIN'T	AM NOT
aren't	are not
Aren't	Are not
AREN'T	ARE NOT
can't	cannot
Can't	Cannot
CAN'T	CANNOT
could've	could have
Could've	Could have
COULD'VE	COULD HAVE
couldn't	could not
Couldn't	Could not
COULDN'T	COULD NOT
didn't	did not
Didn't	Did not
DIDN'T	DID NOT
doesn't	does not
Doesn't	Does not
DOESN'T	DOES NOT
don't	do not
Don't	Do not
DON'T	DO NOT
gimme	give me
Gimme	Give me
GIMME	GIVE ME
gonna	going to
Gonna	Going to
GONNA	GOING TO
gotta	got to
Gotta	Got to
GOTTA	GOT TO
hadn't	had not
Hadn't	Had not
HADN'T	HAD NOT
hasn't	has not
Hasn't	Has not
HASN'T	HAS NOT
haven't	have not
Haven't	Have not
HAVEN'T	HAVE NOT
he'd	he had
He'd	He had
HE'D	HE HAD
he'll	he will
He'll	He will
HE'LL	HE WILL
he's	he is
He's	He is
HE'S	HE IS
he've	he have
He've	He have
HE'VE	HE HAVE
how'd	how did
How'd	How did
HOW'D	HOW DID
how'll	how will
How'll	How will
HOW'LL	HOW WILL
how're	how are
How're	How are
HOW'RE	HOW ARE
how's	how is
How's	How is
HOW'S	HOW IS
isn't	is not
Isn't	Is not
ISN'T	IS NOT
it'd	it would
It'd	It would
IT'D	IT WOULD
it'll	it will
It'll	It will
IT'LL	IT WILL
it's	it is
It's	It is
IT'S	IT IS
let's	let us
Let's	Let us
LET'S	LET US
may've	may have
May've	May have
MAY'VE	MAY HAVE
mayn't	may not
Mayn't	May not
MAYN'T	MAY NOT
might've	might have
Might've	Might have
MIGHT'VE	MIGHT HAVE
mightn't	might not
Mightn't	Might not
MIGHTN'T	MIGHT NOT
must've	must have
Must've	Must have
MUST'VE	MUST HAVE
mustn't	must not
Mustn't	Must not
MUSTN'T	MUST NOT
ne'er	never
Ne'er	Never
NE'ER	NEVER
needn't	need not
Needn't	Need not
NEEDN'T	NEED NOT
o'er	over
O'er	Over
O'ER	OVER
ol'	old
Ol'	Old
OL'	OLD
oughtn't	ought not
Oughtn't	Ought not
OUGHTN'T	OUGHT NOT
she'd	she had
She'd	She had
SHE'D	SHE HAD
she'll	she will
She'll	She will
SHE'LL	SHE WILL
she's	she is
She's	She is
SHE'S	SHE IS
should've	should have
Should've	Should have
SHOULD'VE	SHOULD HAVE
shouldn't	should not
Shouldn't	Should not
SHOULDN'T	SHOULD NOT
somebody's	somebody is
Somebody's	Somebody is
SOMEBODY'S	SOMEBODY IS
someone's	someone is
Someone's	Someone is
SOMEONE'S	SOMEONE IS
something's	something is
Something's	Something is
SOMETHING'S	SOMETHING IS
that'd	that had
That'd	That had
THAT'D	THAT HAD
that'll	that will
That'll	That will
THAT'LL	THAT WILL
that're	that are
That're	That are
THAT'RE	THAT ARE
that's	that is
That's	That is
THAT'S	THAT IS
there'd	there had
There'd	There had
THERE'D	THERE HAD
there'll	there will
There'll	There will
THERE'LL	THERE WILL
there're	there are
There're	There are
THERE'RE	THERE ARE
there's	there is
There's	There is
THERE'S	THERE IS
these're	these are
These're	These are
THESE'RE	THESE ARE
they'd	they had
They'd	They had
THEY'D	THEY HAD
they'll	they will
They'll	They will
THEY'LL	THEY WILL
they're	they are
They're	They are
THEY'RE	THEY ARE
they've	they have
They've	They have
THEY'VE	THEY HAVE
this's	this is
This's	This is
THIS'S	THIS IS
those're	those are
Those're	Those are
THOSE'RE	THOSE ARE
wasn't	was not
Wasn't	Was not
WASN'T	WAS NOT
we'd	we had
We'd	We had
WE'D	WE HAD
we'll	we will
We'll	We will
WE'LL	WE WILL
we're	we are
We're	We are
WE'RE	WE ARE
we've	we have
We've	We have
WE'VE	WE HAVE
weren't	were not
Weren't	Were not
WEREN'T	WERE NOT
what'd	what did
What'd	What did
WHAT'D	WHAT DID
what'll	what will
What'll	What will
WHAT'LL	WHAT WILL
what're	what are
What're	What are
WHAT'RE	WHAT ARE
what's	what is
What's	What is
WHAT'S	WHAT IS
what've	what have
What've	What have
WHAT'VE	WHAT HAVE
when's	when is
When's	When is
WHEN'S	WHEN IS
where'd	where did
Where'd	Where did
WHERE'D	WHERE DID
where're	where are
Where're	Where are
WHERE'RE	WHERE ARE
where's	where is
Where's	Where is
WHERE'S	WHERE IS
where've	where have
Where've	Where have
WHERE'VE	WHERE HAVE
which's	which is
Which's	Which is
WHICH'S	WHICH IS
who'd	who did
Who'd	Who did
WHO'D	WHO DID
who'll	who will
Who'll	Who will
WHO'LL	WHO WILL
who're	who are
Who're	Who are
WHO'RE	WHO ARE
who's	who is
Who's	Who is
WHO'S	WHO IS
who've	who have
Who've	Who have
WHO'VE	WHO HAVE
why'd	why did
Why'd	Why did
WHY'D	WHY DID
why're	why are
Why're	Why are
WHY'RE	WHY ARE
why's	why is
Why's	Why is
WHY'S	WHY IS
won't	will not
Won't	Will not
WON'T	WILL NOT
would've	would have
Would've	Would have
WOULD'VE	WOULD HAVE
wouldn't	would not
Wouldn't	Would not
WOULDN'T	WOULD NOT
y'all	you all
Y'all	You all
Y'ALL	YOU ALL
you'd	you had
You'd	You had
YOU'D	YOU HAD
you'll	you will
You'll	You will
YOU'LL	YOU WILL
you're	you are
You're	You are
YOU'RE	YOU ARE
you've	you have
You've	You have
YOU'VE	YOU HAVE
